('go home', 9)
('refugee go', 4)
('refugee go home', 4)
('illegal immigrant', 3)
('go back', 3)
('german government', 3)
('government pay', 3)
('pay 3', 3)
('3 week', 3)
('week vacation', 3)
('vacation refugee', 3)
('german government pay', 3)
('government pay 3', 3)
('pay 3 week', 3)
('3 week vacation', 3)
('week vacation refugee', 3)
('vacation refugee go', 3)
('shut fuck', 2)
('suck dick', 2)
('making sandwich', 2)
('rape culture', 2)
('back home', 2)
('go back home', 2)
('home armstrong', 2)
('armstrong economics', 2)
('go home armstrong', 2)
('home armstrong economics', 2)
('illegal alien', 2)
('immigrant come', 2)
('000 syrian', 2)
('rt shut', 1)
('fuck come', 1)
('come suck', 1)
('rt shut fuck', 1)
('shut fuck come', 1)
('fuck come suck', 1)
('come suck dick', 1)
('ok fucking', 1)
('fucking said', 1)
('said leave', 1)
('leave block', 1)
('block dm', 1)
('dm first', 1)
('first gon', 1)
('gon na', 1)
('na kick', 1)
('kick as', 1)
('as shut', 1)
('ok fucking said', 1)
('fucking said leave', 1)
('said leave block', 1)
('leave block dm', 1)
('block dm first', 1)
('dm first gon', 1)
('first gon na', 1)
('gon na kick', 1)
('na kick as', 1)
('kick as shut', 1)
('as shut fuck', 1)
('sw wow', 1)
('wow mo', 1)
('mo cock', 1)
('cock got', 1)
('got hard', 1)
('hard want', 1)
('want pull', 1)
('pull panty', 1)
('panty push', 1)
('push door', 1)
('door let', 1)
('let feel', 1)
('feel cock', 1)
('cock deep', 1)
('deep wet', 1)
('wet pus', 1)
('sw wow mo', 1)
('wow mo cock', 1)
('mo cock got', 1)
('cock got hard', 1)
('got hard want', 1)
('hard want pull', 1)
('want pull panty', 1)
('pull panty push', 1)
('panty push door', 1)
('push door let', 1)
('door let feel', 1)
('let feel cock', 1)
('feel cock deep', 1)
('cock deep wet', 1)
('deep wet pus', 1)
('ill kill', 1)
('kill bitch', 1)
('bitch chloe', 1)
('chloe home', 1)
('home idgaf', 1)
('idgaf kidding', 1)
('kidding bitch', 1)
('bitch report', 1)
('report as', 1)
